Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
1,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
2,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
3,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
4,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
5,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
6,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
7,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
8,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
9,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
10,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
11,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
12,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
13,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
14,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
15,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
16,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
17,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
18,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
19,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
20,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
21,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
22,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
23,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
24,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
25,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
26,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
27,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
28,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
29,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM
30,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
31,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
32,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
33,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM
34,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
35,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
36,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
37,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
38,Migrated Delivery,Stabilize workloads following platform migration to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
39,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
40,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
41,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
42,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
43,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
