Parent Feature Summary,Work Alignment,Work Category,Story Summary,Classification
Acquisitions ART Production Support,Red,Production Support,Address production support gaps impacting acquisition flows to support production operations,
Migrated Delivery,Yellow,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,
Acquisitions ART Production Support,Red,Production Support,Resolve operational issues affecting downstream integrations to support production operations,
Security & Vulnerability Management,Red,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,
Acquisitions ART Production Support,Red,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,
SRE Delivery: Chaos Engineering,Yellow,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance
Migrated Delivery,Black,Enablers,Address technical debt introduced during migration to unblock dependent teams,
Migrated Delivery,Green,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,
SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,
Continuous Improvement Feature,Black,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,
Security & Vulnerability Management,Black,Business Functionality,Harden service configurations based on security findings to enable required business functionality,
SRE Delivery: Chaos Engineering,Green,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,
Continuous Improvement Feature,Green,Enablers,Improve observability and logging standards to unblock dependent teams,
Continuous Improvement Feature,Green,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,
Migrated Delivery,Red,Production Support,Stabilize workloads following platform migration to support production operations,
SRE Delivery: Chaos Engineering,Green,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,
Acquisitions ART Production Support,Red,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance
Continuous Improvement Feature,Black,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,
Security & Vulnerability Management,Red,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance
Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,
Acquisitions ART Production Support,Green,Maintenance,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Business Maintenance
Migrated Delivery,Red,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,
Security & Vulnerability Management,Green,Production Support,Update security scanning rules and suppression logic to support production operations,
Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,
