Story Title,Description,waf_category,waf_subcategory,waf_color
Fix production database connection timeout,Users experiencing intermittent 504 errors on loan lookup service during peak hours. Connection pool exhaustion confirmed.,KTLO (Keep the Lights On),Emergency break-fix,GRAY
Implement daily backup verification script,Create automated validation that DR backups completed successfully and are restorable.,KTLO (Keep the Lights On),Monitoring and backups,GRAY
Update fee calculation rules for Q2 rate changes,Business requested update to existing fee schedule logic to reflect new Q2 pricing approved by product team.,Business Maintenance,Configuration updates,BLACK
Fix duplicate records in customer address table,Data quality issue causing downstream errors in correspondence. Existing dedup logic needs tuning.,Business Maintenance,Data quality fixes,BLACK
Upgrade Java runtime from 11 to 17,Current JDK approaching EOL. Upgrade to maintain security patch availability and performance.,Technical Maintenance,Platform upgrades,BLACK
Consolidate three monitoring dashboards into one,"Reduce tool sprawl by merging Datadog, Grafana, and custom dashboards into single pane of glass.",Technical Maintenance,Tool consolidation,BLACK
Refactor legacy batch processor to reduce retry failures,Batch job has 12% retry rate due to poor error handling. Refactor to improve reliability.,Technical Maintenance,Tech debt reduction,BLACK
Generate quarterly HMDA data extract for compliance,"Recurring regulatory reporting requirement. No system changes needed, just extract and validate.",Regulatory (Operational),Regulatory reporting,RED
Remediate audit finding on access control logging,Internal audit flagged insufficient logging on admin actions. Add logging to existing endpoints.,Regulatory (Operational),Audit remediation,RED
Implement new FHFA credit score model requirements,Federal mandate requiring dual credit score model support across all origination systems. Requires data model changes and new vendor integration.,Regulatory Mandated Change,FHFA compliance,RED
Redesign identity verification for zero-trust architecture,Security mandate requiring complete overhaul of authentication and authorization framework across all services.,Regulatory Mandated Change,Zero-trust architecture,RED
Build AI-powered document classification pipeline,Enterprise initiative to automate loan document intake using ML. Multi-team effort across engineering and operations.,Enterprise Strategic Priority,AI Infrastructure Enablement,ORANGE
Loan Quality Center real-time scoring integration,Strategic transformation to enable real-time quality scoring at point of origination rather than post-close.,Enterprise Strategic Priority,Loan Quality Center Transformation,ORANGE
Implement Treasury position reconciliation dashboard,Division priority to give Treasury real-time visibility into market risk positions. Requested by Treasury SVP.,Top Divisional Priority,Treasury Market Risk,YELLOW
Build self-service data catalog for CDO team,CDO initiative to improve data discoverability. Divisional priority but not enterprise-wide.,Top Divisional Priority,CDO Data & Services,YELLOW
Prototype chatbot for internal HR FAQ,Exploratory AI use case. Low priority but could reduce HR ticket volume. Can be paused without impact.,Other Block Priority,AI use-case exploration,GREEN
Add export-to-PDF feature on monthly reports,Nice-to-have enhancement requested by several users. Not tied to any strategic initiative.,Other Block Priority,Incremental improvements,GREEN
Automate test environment provisioning with Terraform,Would save ~2hrs per sprint in manual setup. Valuable but deferrable.,Other Block Priority,Automation pilots,GREEN
