Row,Parent Feature Summary,Original Work Alignment,Original Work Category,Story Summary,Original Classification,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence,Classification Rationale
1,Acquisitions ART Production Support,Red,Production Support,Address production support gaps impacting acquisition flows to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
2,Migrated Delivery,Yellow,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Yellow → Technical Maintenance
3,Acquisitions ART Production Support,Red,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
4,Security & Vulnerability Management,Red,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + Red + regulatory → Regulatory Operational
5,Acquisitions ART Production Support,Red,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
6,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
7,Migrated Delivery,Black,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Migrated + Black → Technical Maintenance
8,Migrated Delivery,Green,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
9,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
10,Continuous Improvement Feature,Black,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
11,Security & Vulnerability Management,Black,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
12,SRE Delivery: Chaos Engineering,Green,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
13,Continuous Improvement Feature,Green,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
14,Continuous Improvement Feature,Green,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
15,Migrated Delivery,Red,Production Support,Stabilize workloads following platform migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
16,SRE Delivery: Chaos Engineering,Green,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
17,Acquisitions ART Production Support,Red,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
18,Continuous Improvement Feature,Black,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,CI Feature + Black → Technical Maintenance
19,Security & Vulnerability Management,Red,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
20,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
21,Acquisitions ART Production Support,Green,Maintenance,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
22,Migrated Delivery,Red,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red + Business Functionality → KTLO (urgent post-migration)
23,Security & Vulnerability Management,Green,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
24,Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
25,Security & Vulnerability Management,Red,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + Red + regulatory → Regulatory Operational
26,SRE Delivery: Chaos Engineering,Red,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
27,Acquisitions ART Production Support,Red,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
28,Acquisitions ART Production Support,Red,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
29,Security & Vulnerability Management,Green,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM,Security + Green + CI → Other Blocked Priority
30,SRE Delivery: Chaos Engineering,Yellow,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
31,Security & Vulnerability Management,Orange,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
32,Continuous Improvement Feature,Red,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
33,Security & Vulnerability Management,Green,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM,Security + Green + CI → Other Blocked Priority
34,Migrated Delivery,Green,Maintenance,Stabilize workloads following platform migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
35,Acquisitions ART Production Support,Black,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
36,SRE Delivery: Chaos Engineering,Yellow,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
37,Acquisitions ART Production Support,Black,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
38,Migrated Delivery,Green,Business Functionality,Stabilize workloads following platform migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
39,Continuous Improvement Feature,Red,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
40,Acquisitions ART Production Support,Red,Maintenance,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
41,Security & Vulnerability Management,Yellow,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM,Security + Yellow → Divisional Priority
42,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
43,Continuous Improvement Feature,Green,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
44,Security & Vulnerability Management,Green,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM,Security + Green + CI → Other Blocked Priority
45,Migrated Delivery,Black,Maintenance,Address technical debt introduced during migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
46,Acquisitions ART Production Support,Green,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
47,Migrated Delivery,Red,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red + Business Functionality → KTLO (urgent post-migration)
48,Migrated Delivery,Red,Maintenance,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
49,Continuous Improvement Feature,Orange,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
50,Continuous Improvement Feature,Black,Enablers,Improve observability and logging standards to unblock dependent teams,,Run,BLACK,Technical Maintenance,Observability,MEDIUM,CI Feature + Black → Technical Maintenance
51,Acquisitions ART Production Support,Red,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
52,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
53,SRE Delivery: Chaos Engineering,Orange,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
54,Security & Vulnerability Management,Yellow,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM,Security + Yellow → Divisional Priority
55,Continuous Improvement Feature,Yellow,Enablers,Refactor pipeline components to reduce operational overhead to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
56,Continuous Improvement Feature,Green,Enablers,Refactor pipeline components to reduce operational overhead to unblock dependent teams,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
57,SRE Delivery: Chaos Engineering,Black,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
58,SRE Delivery: Chaos Engineering,Orange,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
59,Acquisitions ART Production Support,Red,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
60,Security & Vulnerability Management,Yellow,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
61,SRE Delivery: Chaos Engineering,Orange,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
62,Continuous Improvement Feature,Red,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
